@relation APPUSAGE
@attribute activeTime numeric
@attribute packageName {'com.whatsapp','com.google.android.talk','com.facebook.katana','com.estrongs.android.pop','com.android.chrome','com.google.android.keep','com.google.android.gm','com.anydo','com.google.android.apps.maps','com.google.android.GoogleCamera','com.aviary.android.feather','com.facebook.orca','com.linkedin.android','com.google.android.apps.plus','com.king.candycrushsaga','com.google.android.youtube','com.ogqcorp.bgh','naukriApp.appModules.login','com.makemytrip','com.flipkart.android','com.evernote','com.domobile.applock','com.tripadvisor.tripadvisor','com.bt.bms','com.viber.voip','com.google.android.music','com.google.android.apps.docs','com.roidapp.photogrid','com.bsb.hike','com.google.android.dialer','com.android.phone','com.google.android.gallery3d','com.android.packageinstaller','com.android.mms','com.android.calculator2','com.android.vending','com.quickoffice.android','com.android.documentsui','com.uob.websense'}
@attribute startMinuteDay numeric
@attribute locationTag {'O','H'}
@attribute category {'Communication','Productivity','Social','Photography','Casual','Personalization','Business','Travel and Local','Shopping','Tools','Entertainment','Music and Audio','Media and Video','AndroidSystem'}

@data
132000,'com.whatsapp',26398,'H','Communication'
16000,'com.anydo',46352,'O','Productivity'
68000,'com.whatsapp',39481,'H','Communication'
0,'com.whatsapp',39478,'H','Communication'
8000,'com.whatsapp',39626,'H','Communication'
0,'com.whatsapp',41042,'H','Communication'
12000,'com.whatsapp',37997,'H','Communication'
4000,'com.google.android.dialer',43963,'H','AndroidSystem'
36000,'com.google.android.dialer',41282,'H','AndroidSystem'
36000,'com.google.android.dialer',43975,'H','AndroidSystem'
32000,'com.google.android.dialer',43682,'H','AndroidSystem'
8000,'com.whatsapp',39554,'H','Communication'
0,'com.whatsapp',41034,'H','Communication'
0,'com.android.phone',43971,'H','AndroidSystem'
4000,'com.anydo',43959,'H','Productivity'
316000,'com.google.android.dialer',74022,'H','AndroidSystem'
28000,'com.whatsapp',75314,'H','Communication'
44000,'com.google.android.dialer',77686,'H','AndroidSystem'
20000,'com.whatsapp',74978,'H','Communication'
12000,'com.whatsapp',75418,'H','Communication'
0,'com.anydo',77859,'H','Productivity'
8000,'com.whatsapp',78239,'H','Communication'
4000,'com.whatsapp',74009,'H','Communication'
12000,'com.google.android.gm',75438,'H','Communication'
0,'com.android.phone',78103,'H','AndroidSystem'
0,'com.whatsapp',79379,'H','Communication'
12000,'com.facebook.orca',79551,'H','Communication'
16000,'com.facebook.katana',80071,'H','Social'
8000,'com.whatsapp',74013,'H','Communication'
4000,'com.anydo',78099,'H','Productivity'
112000,'com.aviary.android.feather',78251,'H','Photography'
8000,'com.whatsapp',78943,'H','Communication'
36000,'com.whatsapp',79155,'H','Communication'
16000,'com.whatsapp',80051,'H','Communication'
48000,'com.google.android.gallery3d',80131,'H','AndroidSystem'
4000,'com.whatsapp',78107,'H','Communication'
36000,'com.google.android.gallery3d',78959,'H','AndroidSystem'
84000,'com.whatsapp',79207,'H','Communication'
0,'com.facebook.katana',79383,'H','Social'
4000,'com.whatsapp',79567,'H','Communication'
16000,'com.whatsapp',79323,'H','Communication'
4000,'com.whatsapp',79587,'H','Communication'
4000,'com.whatsapp',84810,'H','Communication'
28000,'com.whatsapp',84994,'H','Communication'
4000,'com.facebook.katana',85242,'H','Social'
4000,'com.whatsapp',85298,'H','Communication'
36000,'com.linkedin.android',85358,'H','Social'
568000,'com.whatsapp',86067,'H','Communication'
28000,'com.google.android.dialer',77830,'H','AndroidSystem'
96000,'com.whatsapp',78999,'H','Communication'
24000,'com.whatsapp',80099,'H','Communication'
4000,'com.whatsapp',80311,'H','Communication'
0,'com.whatsapp',80827,'H','Communication'
220000,'com.whatsapp',80496,'H','Communication'
32000,'com.facebook.katana',81573,'H','Social'
28000,'com.facebook.katana',84758,'H','Social'
16000,'com.facebook.katana',84842,'H','Social'
32000,'com.whatsapp',85038,'H','Communication'
28000,'com.google.android.gm',85254,'H','Communication'
28000,'com.linkedin.android',85446,'H','Social'
12000,'com.facebook.katana',85681,'H','Social'
40000,'com.whatsapp',321,'H','Communication'
192000,'com.google.android.dialer',80975,'H','AndroidSystem'
36000,'com.google.android.dialer',83998,'H','AndroidSystem'
424000,'com.whatsapp',84330,'H','Communication'
28000,'com.whatsapp',84814,'H','Communication'
8000,'com.facebook.katana',85026,'H','Social'
44000,'com.whatsapp',85398,'H','Communication'
8000,'com.whatsapp',85713,'H','Communication'
12000,'com.whatsapp',80295,'H','Communication'
24000,'com.whatsapp',84862,'H','Communication'
120000,'com.facebook.katana',85074,'H','Social'
0,'com.android.chrome',85286,'H','Communication'
20000,'com.linkedin.android',85322,'H','Social'
48000,'com.whatsapp',85581,'H','Communication'
28000,'com.whatsapp',85945,'H','Communication'
24000,'com.whatsapp',84178,'H','Communication'
12000,'com.whatsapp',84794,'H','Communication'
100000,'com.facebook.katana',84890,'H','Social'
40000,'com.whatsapp',85198,'H','Communication'
8000,'com.whatsapp',85346,'H','Communication'
0,'com.whatsapp',85482,'H','Communication'
4000,'com.whatsapp',85701,'H','Communication'
32000,'com.facebook.katana',1930,'H','Social'
32000,'com.whatsapp',30282,'H','Communication'
56000,'com.google.android.dialer',30420,'H','AndroidSystem'
20000,'com.facebook.katana',32383,'H','Social'
4000,'com.anydo',36867,'H','Productivity'
0,'com.whatsapp',38084,'H','Communication'
36000,'com.whatsapp',1966,'H','Communication'
32000,'com.whatsapp',30349,'H','Communication'
800000,'com.whatsapp',393,'H','Communication'
536000,'com.whatsapp',1390,'H','Communication'
16000,'com.whatsapp',29460,'H','Communication'
0,'com.android.phone',30417,'H','AndroidSystem'
28000,'com.facebook.katana',32168,'H','Social'
108000,'com.facebook.katana',35896,'H','Social'
24000,'com.whatsapp',36300,'H','Communication'
0,'com.whatsapp',36348,'H','Communication'
0,'com.android.packageinstaller',36428,'H','AndroidSystem'
0,'com.anydo',36765,'H','Productivity'
12000,'com.whatsapp',2090,'H','Communication'
28000,'com.whatsapp',2374,'H','Communication'
4000,'com.facebook.katana',30633,'H','Social'
12000,'com.anydo',35884,'H','Productivity'
8000,'com.facebook.katana',36340,'H','Social'
104000,'com.whatsapp',1237,'H','Communication'
8000,'com.whatsapp',30400,'H','Communication'
4000,'com.anydo',35268,'H','Productivity'
8000,'com.facebook.katana',36020,'H','Social'
4000,'com.facebook.katana',36336,'H','Social'
532000,'com.google.android.dialer',36875,'H','AndroidSystem'
8000,'com.anydo',32403,'H','Productivity'
4000,'com.whatsapp',36012,'H','Communication'
0,'com.facebook.katana',36332,'H','Social'
0,'com.android.packageinstaller',36452,'H','AndroidSystem'
16000,'com.whatsapp',37728,'H','Communication'
24000,'com.google.android.dialer',41478,'H','AndroidSystem'
564000,'com.whatsapp',41631,'H','Communication'
24000,'com.whatsapp',42455,'H','Communication'
284000,'com.whatsapp',42995,'H','Communication'
4000,'com.whatsapp',44279,'H','Communication'
0,'com.google.android.dialer',45623,'H','AndroidSystem'
28000,'com.google.android.dialer',36736,'H','AndroidSystem'
0,'com.whatsapp',41454,'H','Communication'
40000,'com.whatsapp',41583,'H','Communication'
32000,'com.whatsapp',42379,'H','Communication'
60000,'com.whatsapp',42911,'H','Communication'
24000,'com.google.android.dialer',45595,'H','AndroidSystem'
360000,'com.whatsapp',42483,'H','Communication'
20000,'com.google.android.apps.plus',43283,'H','Social'
60000,'com.whatsapp',44215,'H','Communication'
4000,'com.google.android.talk',46773,'H','Communication'
276000,'com.whatsapp',47605,'H','Communication'
0,'com.whatsapp',41579,'H','Communication'
40000,'com.whatsapp',43307,'H','Communication'
612000,'com.whatsapp',46080,'H','Communication'
12000,'com.google.android.talk',47325,'H','Communication'
12000,'com.whatsapp',51481,'H','Communication'
12000,'com.whatsapp',43527,'H','Communication'
