@relation APPUSAGE
@attribute activeTime numeric
@attribute packageName {'com.whatsapp','com.google.android.talk','com.facebook.katana','com.android.chrome','com.google.android.calendar','com.google.android.gm','com.google.android.apps.maps','com.google.android.GoogleCamera','com.facebook.orca','com.google.android.apps.plus','com.google.android.youtube','com.socialnmobile.dictapps.notepad.color.note','com.google.android.email','com.viber.voip','com.trapeze.nationalexpress','jp.naver.line.android','com.skype.raider','com.tencent.mm','com.google.android.apps.genie.geniewidget','com.android.phone','com.google.android.dialer','com.google.android.deskclock','com.android.vending','com.android.calculator2','com.google.android.gallery3d','com.uob.websense'}
@attribute startMinuteDay numeric
@attribute locationTag {'O','H'}
@attribute category {'Communication','Media and Video','Social','Productivity','Travel and Local','Photography','AndroidSystem'}

@data
16000,'com.google.android.gm',33061,'H','Communication'
32000,'com.google.android.gm',46001,'H','Communication'
8000,'com.google.android.gm',32965,'H','Communication'
0,'com.google.android.talk',46041,'H','Communication'
20000,'com.google.android.talk',46053,'H','Communication'
4000,'com.google.android.talk',49105,'H','Communication'
16000,'com.google.android.apps.genie.geniewidget',50336,'H','AndroidSystem'
76000,'com.android.chrome',32982,'H','Communication'
12000,'com.google.android.talk',45985,'H','Communication'
0,'com.android.chrome',46050,'H','Communication'
904000,'com.google.android.talk',47305,'H','Communication'
16000,'com.android.chrome',49122,'H','Communication'
12000,'com.google.android.youtube',50028,'H','Media and Video'
16000,'com.whatsapp',50316,'H','Communication'
896000,'com.google.android.talk',48209,'H','Communication'
60000,'com.facebook.katana',50044,'H','Social'
4000,'com.android.chrome',32977,'H','Communication'
4000,'com.android.chrome',46045,'H','Communication'
572000,'com.google.android.talk',46733,'H','Communication'
4000,'com.android.chrome',49117,'H','Communication'
20000,'com.facebook.katana',50004,'H','Social'
80000,'com.whatsapp',50236,'H','Communication'
4000,'com.google.android.gm',51692,'H','Communication'
0,'com.android.phone',56614,'H','AndroidSystem'
52000,'com.google.android.dialer',56618,'H','AndroidSystem'
4000,'com.google.android.gm',49109,'H','Communication'
16000,'com.whatsapp',51079,'H','Communication'
20000,'com.google.android.dialer',58238,'H','AndroidSystem'
28000,'com.socialnmobile.dictapps.notepad.color.note',58626,'H','Productivity'
12000,'com.google.android.dialer',59451,'H','AndroidSystem'
28000,'com.google.android.dialer',58154,'H','AndroidSystem'
44000,'com.google.android.dialer',58772,'H','AndroidSystem'
4000,'com.google.android.talk',59393,'H','Communication'
4000,'com.socialnmobile.dictapps.notepad.color.note',58768,'H','Productivity'
56000,'com.facebook.katana',57309,'H','Social'
72000,'com.google.android.dialer',58505,'H','AndroidSystem'
4000,'com.socialnmobile.dictapps.notepad.color.note',58768,'H','Productivity'
32000,'com.google.android.apps.plus',50360,'H','Social'
40000,'com.google.android.apps.maps',55078,'H','Travel and Local'
28000,'com.google.android.dialer',58154,'H','AndroidSystem'
44000,'com.google.android.dialer',58772,'H','AndroidSystem'
4000,'com.google.android.talk',59393,'H','Communication'
56000,'com.facebook.katana',57309,'H','Social'
72000,'com.google.android.dialer',58505,'H','AndroidSystem'
20000,'com.google.android.dialer',58238,'H','AndroidSystem'
28000,'com.socialnmobile.dictapps.notepad.color.note',58626,'H','Productivity'
12000,'com.google.android.dialer',59451,'H','AndroidSystem'
180000,'com.google.android.dialer',7995,'H','AndroidSystem'
204000,'com.google.android.dialer',8401,'H','AndroidSystem'
116000,'com.android.chrome',11796,'H','Communication'
128000,'com.google.android.dialer',7638,'H','AndroidSystem'
0,'com.android.phone',8397,'H','AndroidSystem'
8000,'com.google.android.gm',10735,'H','Communication'
92000,'com.android.chrome',11704,'H','Communication'
44000,'com.google.android.gm',10687,'H','Communication'
100000,'com.android.chrome',11912,'H','Communication'
444000,'com.facebook.katana',11250,'H','Social'
4000,'com.google.android.email',37484,'H','Productivity'
24000,'com.google.android.talk',47902,'H','Communication'
36000,'com.google.android.dialer',48420,'H','AndroidSystem'
20000,'com.google.android.deskclock',37508,'H','AndroidSystem'
16000,'com.google.android.email',46789,'H','Productivity'
4000,'com.google.android.gm',37492,'H','Communication'
56000,'com.google.android.talk',46677,'H','Communication'
24000,'com.google.android.talk',46909,'H','Communication'
124000,'com.google.android.gm',13195,'H','Communication'
24000,'com.google.android.talk',47206,'H','Communication'
4000,'com.google.android.dialer',48278,'H','AndroidSystem'
20000,'com.google.android.talk',48527,'H','Communication'
152000,'com.google.android.dialer',48057,'H','AndroidSystem'
0,'com.whatsapp',49404,'H','Communication'
20000,'com.google.android.gm',27564,'H','Communication'
24000,'com.google.android.talk',46765,'H','Communication'
0,'com.android.phone',49619,'H','AndroidSystem'
48000,'com.google.android.dialer',50351,'H','AndroidSystem'
48000,'com.google.android.dialer',49808,'H','AndroidSystem'
132000,'com.google.android.dialer',50550,'H','AndroidSystem'
28000,'com.google.android.dialer',49762,'H','AndroidSystem'
68000,'com.google.android.dialer',49516,'H','AndroidSystem'
0,'com.android.phone',50347,'H','AndroidSystem'
4000,'com.google.android.email',59697,'O','Productivity'
36000,'com.google.android.talk',49412,'H','Communication'
64000,'com.google.android.dialer',49623,'H','AndroidSystem'
48000,'com.google.android.dialer',50012,'H','AndroidSystem'
0,'com.android.chrome',62013,'O','Communication'
16000,'com.android.chrome',62150,'O','Communication'
24000,'com.whatsapp',59669,'O','Communication'
20000,'com.whatsapp',61973,'O','Communication'
64000,'com.android.chrome',62070,'O','Communication'
28000,'com.android.chrome',62265,'O','Communication'
56000,'com.whatsapp',61735,'O','Communication'
32000,'com.android.chrome',62037,'O','Communication'
4000,'com.android.chrome',62261,'O','Communication'
16000,'com.android.chrome',62134,'O','Communication'
60000,'com.android.chrome',62205,'O','Communication'
4000,'com.google.android.email',59697,'O','Productivity'
0,'com.android.chrome',62013,'O','Communication'
16000,'com.android.chrome',62150,'O','Communication'
24000,'com.whatsapp',59669,'O','Communication'
16000,'com.android.chrome',62134,'O','Communication'
20000,'com.whatsapp',61973,'O','Communication'
64000,'com.android.chrome',62070,'O','Communication'
28000,'com.android.chrome',62265,'O','Communication'
56000,'com.whatsapp',61735,'O','Communication'
32000,'com.android.chrome',62037,'O','Communication'
4000,'com.android.chrome',62261,'O','Communication'
60000,'com.android.chrome',62205,'O','Communication'
20000,'com.google.android.gm',64045,'O','Communication'
0,'com.google.android.apps.plus',64041,'O','Social'
4000,'com.google.android.email',69156,'O','Productivity'
32000,'com.whatsapp',80177,'O','Communication'
8000,'com.facebook.katana',738,'H','Social'
740000,'com.facebook.katana',11171,'H','Social'
56000,'com.facebook.katana',12087,'H','Social'
0,'com.android.chrome',12208,'H','Communication'
16000,'com.google.android.deskclock',10660,'H','AndroidSystem'
4000,'com.android.chrome',12171,'H','Communication'
164000,'com.facebook.katana',482,'H','Social'
44000,'com.google.android.apps.plus',10598,'H','Social'
136000,'com.facebook.katana',11915,'H','Social'
16000,'com.google.android.deskclock',30504,'H','AndroidSystem'
24000,'com.facebook.katana',12055,'H','Social'
8000,'com.android.chrome',12176,'H','Communication'
8000,'com.facebook.orca',30440,'H','Communication'
36000,'com.google.android.deskclock',32422,'H','AndroidSystem'
92000,'com.facebook.katana',33763,'H','Social'
88000,'com.android.chrome',33863,'H','Communication'
32000,'com.android.chrome',42506,'H','Communication'
96000,'com.android.chrome',42667,'H','Communication'
260000,'com.facebook.katana',44246,'H','Social'
8000,'com.whatsapp',45486,'H','Communication'
12000,'com.google.android.dialer',45522,'H','AndroidSystem'
8000,'com.google.android.deskclock',32402,'H','AndroidSystem'
84000,'com.android.chrome',33952,'H','Communication'
52000,'com.google.android.dialer',34655,'H','AndroidSystem'
48000,'com.android.chrome',42538,'H','Communication'
0,'com.android.chrome',42763,'H','Communication'
96000,'com.google.android.gm',43032,'H','Communication'
8000,'com.android.chrome',42639,'H','Communication'
28000,'com.whatsapp',44839,'H','Communication'
8000,'com.google.android.dialer',45506,'H','AndroidSystem'
4000,'com.google.android.talk',45570,'H','Communication'
24000,'com.android.chrome',12184,'H','Communication'
4000,'com.google.android.deskclock',32466,'H','AndroidSystem'
116000,'com.google.android.gm',34377,'H','Communication'
72000,'com.facebook.katana',42027,'H','Social'
32000,'com.android.chrome',42474,'H','Communication'
20000,'com.android.chrome',42650,'H','Communication'
4000,'com.facebook.orca',44238,'H','Communication'
16000,'com.whatsapp',45192,'H','Communication'
40000,'com.google.android.dialer',45578,'H','AndroidSystem'
4000,'com.google.android.dialer',45494,'H','AndroidSystem'
8000,'com.google.android.talk',45538,'H','Communication'
44000,'com.google.android.dialer',45626,'H','AndroidSystem'
0,'com.facebook.orca',46345,'H','Communication'
72000,'com.facebook.katana',41947,'H','Social'
52000,'com.android.chrome',42587,'H','Communication'
0,'com.android.phone',45502,'H','AndroidSystem'
16000,'com.google.android.dialer',45550,'H','AndroidSystem'
24000,'com.google.android.gm',46669,'O','Communication'
32000,'com.android.chrome',46790,'O','Communication'
20000,'com.google.android.gm',46729,'O','Communication'
4000,'com.android.chrome',46697,'O','Communication'
12000,'com.google.android.apps.maps',67384,'O','Travel and Local'
68000,'com.google.android.gm',58239,'O','Communication'
4000,'com.whatsapp',67605,'O','Communication'
28000,'com.facebook.katana',69415,'O','Social'
60000,'com.android.chrome',71333,'H','Communication'
12000,'com.android.chrome',71897,'H','Communication'
36000,'com.android.chrome',72071,'H','Communication'
44000,'com.google.android.dialer',67465,'O','AndroidSystem'
68000,'com.android.chrome',71473,'H','Communication'
20000,'com.android.chrome',71981,'H','Communication'
12000,'com.whatsapp',74837,'H','Communication'
4000,'com.facebook.orca',82058,'H','Communication'
76000,'com.android.chrome',71397,'H','Communication'
44000,'com.android.chrome',71940,'H','Communication'
36000,'com.google.android.email',82018,'H','Productivity'
28000,'com.google.android.email',7883,'H','Productivity'
8000,'com.google.android.gm',3814,'H','Communication'
124000,'com.facebook.katana',3999,'H','Social'
20000,'com.facebook.katana',7295,'H','Social'
20000,'com.android.chrome',7859,'H','Communication'
0,'com.google.android.gm',3826,'H','Communication'
36000,'com.android.chrome',46753,'O','Communication'
20000,'com.facebook.orca',47338,'O','Communication'
20000,'com.google.android.email',7831,'H','Productivity'
0,'com.google.android.gm',3826,'H','Communication'
132000,'com.facebook.katana',3834,'H','Social'
4000,'com.android.chrome',7855,'H','Communication'
132000,'com.facebook.katana',3834,'H','Social'
4000,'com.android.chrome',7855,'H','Communication'
20000,'com.google.android.email',7831,'H','Productivity'
8000,'com.google.android.gm',3814,'H','Communication'
124000,'com.facebook.katana',3999,'H','Social'
20000,'com.facebook.katana',7295,'H','Social'
20000,'com.android.chrome',7859,'H','Communication'
4000,'com.android.chrome',26211,'H','Communication'
84000,'com.facebook.katana',26111,'H','Social'
76000,'com.android.chrome',26304,'H','Communication'
36000,'com.android.chrome',26216,'H','Communication'
24000,'com.android.chrome',46702,'O','Communication'
0,'com.facebook.orca',48641,'O','Communication'
20000,'com.google.android.email',52337,'O','Productivity'
20000,'com.google.android.email',52969,'O','Productivity'
28000,'com.google.android.gm',58207,'O','Communication'
16000,'com.facebook.orca',61046,'O','Communication'
8000,'com.google.android.apps.maps',67441,'O','Travel and Local'
384000,'com.google.android.dialer',67613,'O','AndroidSystem'
4000,'com.facebook.katana',69023,'O','Social'
108000,'com.facebook.katana',69446,'H','Social'
4000,'com.android.chrome',71393,'H','Communication'
24000,'com.android.chrome',71909,'H','Communication'
4000,'com.whatsapp',85094,'H','Communication'
12000,'com.google.android.gm',85118,'H','Communication'
0,'com.google.android.gm',3826,'H','Communication'
96000,'com.google.android.apps.maps',66974,'O','Travel and Local'
0,'com.whatsapp',69015,'O','Communication'
24000,'com.android.chrome',71309,'H','Communication'
16000,'com.android.chrome',71884,'H','Communication'
48000,'com.android.chrome',72001,'H','Communication'
0,'com.whatsapp',85110,'H','Communication'
8000,'com.google.android.gm',3814,'H','Communication'
124000,'com.facebook.katana',3999,'H','Social'
20000,'com.facebook.katana',7295,'H','Social'
20000,'com.android.chrome',7859,'H','Communication'
132000,'com.facebook.katana',3834,'H','Social'
4000,'com.android.chrome',7855,'H','Communication'
28000,'com.google.android.email',7883,'H','Productivity'
20000,'com.google.android.email',7831,'H','Productivity'
0,'com.android.chrome',26380,'H','Communication'
12000,'com.google.android.deskclock',34307,'H','AndroidSystem'
28000,'com.google.android.email',7883,'H','Productivity'
52000,'com.android.chrome',26252,'H','Communication'
212000,'com.google.android.email',36401,'H','Productivity'
64000,'com.viber.voip',50775,'O','Communication'
40000,'com.google.android.dialer',43774,'H','AndroidSystem'
740000,'com.viber.voip',48728,'O','Communication'
44000,'com.google.android.dialer',43822,'H','AndroidSystem'
836000,'com.viber.voip',49924,'O','Communication'
0,'com.android.phone',43818,'H','AndroidSystem'
68000,'com.viber.voip',49856,'O','Communication'
20000,'com.viber.voip',48708,'O','Communication'
556000,'com.viber.voip',50839,'O','Communication'
288000,'com.google.android.dialer',55232,'O','AndroidSystem'
24000,'com.google.android.apps.genie.geniewidget',61986,'H','AndroidSystem'
44000,'com.facebook.katana',62010,'H','Social'
12000,'com.google.android.deskclock',62074,'H','AndroidSystem'
40000,'com.google.android.email',66016,'H','Productivity'
196000,'com.google.android.dialer',66064,'H','AndroidSystem'
20000,'com.whatsapp',66430,'H','Communication'
24000,'com.google.android.gm',66454,'H','Communication'
56000,'com.facebook.katana',66482,'H','Social'
160000,'com.facebook.katana',66542,'H','Social'
8000,'com.google.android.deskclock',68402,'H','AndroidSystem'
32000,'com.whatsapp',70308,'H','Communication'
12000,'com.google.android.calendar',81070,'H','Productivity'
28000,'com.whatsapp',81354,'H','Communication'
192000,'com.facebook.katana',81450,'H','Social'
164000,'com.google.android.youtube',81646,'H','Media and Video'
60000,'com.google.android.youtube',81813,'H','Media and Video'
216000,'com.google.android.youtube',82221,'H','Media and Video'
4000,'com.google.android.youtube',82717,'H','Media and Video'
32000,'com.android.chrome',49931,'H','Communication'
4000,'com.android.chrome',49959,'H','Communication'
4000,'com.android.chrome',49964,'H','Communication'
20000,'com.google.android.talk',50885,'H','Communication'
12000,'com.google.android.deskclock',70384,'H','AndroidSystem'
476000,'com.google.android.youtube',73212,'H','Media and Video'
4000,'com.google.android.youtube',73692,'H','Media and Video'
72000,'com.google.android.youtube',73696,'H','Media and Video'
56000,'com.google.android.youtube',82155,'H','Media and Video'
212000,'com.google.android.youtube',82211,'H','Media and Video'
16000,'com.android.chrome',26921,'H','Communication'
24000,'com.google.android.gm',26884,'H','Communication'
8000,'com.google.android.youtube',85006,'H','Media and Video'
4000,'com.google.android.gm',26941,'H','Communication'
88000,'com.whatsapp',33895,'H','Communication'
4000,'com.google.android.gm',26913,'H','Communication'
8000,'com.google.android.dialer',33867,'H','AndroidSystem'
104000,'com.facebook.katana',34135,'H','Social'
16000,'com.whatsapp',85018,'H','Communication'
0,'com.android.chrome',26909,'H','Communication'
8000,'com.google.android.dialer',33859,'H','AndroidSystem'
32000,'com.facebook.katana',33991,'H','Social'
72000,'com.whatsapp',34055,'H','Communication'
88000,'com.whatsapp',34275,'H','Communication'
80000,'com.whatsapp',45411,'H','Communication'
80000,'com.whatsapp',45499,'H','Communication'
72000,'com.whatsapp',45607,'H','Communication'
