@relation APPUSAGE
@attribute activeTime numeric
@attribute packageName {'com.facebook.katana','com.android.chrome','com.google.android.calendar','com.facebook.orca','com.socialnmobile.dictapps.notepad.color.note','com.snapchat.android','com.tinder','com.jrtstudio.AnotherMusicPlayer','com.melodis.midomiMusicIdentifier.freemium','com.htsu.hsbcpersonalbanking','com.imdb.mobile','co.touchlab.android.onesecondeveryday','net.lovoo.android','air.au.com.metro.DumbWaysToDie','com.sec.android.app.clockpackage','com.android.email','com.android.mms','com.android.phone','com.vlingo.midas','com.android.contacts','com.sec.android.app.camera','com.sec.android.widgetapp.ap.hero.accuweather','com.sec.android.app.sbrowser','com.sec.android.gallery3d','com.sec.android.app.shealth','com.android.calendar','com.sec.android.app.voicerecorder','com.example.testproj','com.android.vending','com.uob.websense'}
@attribute startMinuteDay numeric
@attribute locationTag {'O','H'}
@attribute category {'Lifestyle','Productivity','Social','Communication','Music and Audio','Finance','Casual','Entertainment','Media and Video','AndroidSystem'}

@data
148000,'com.sec.android.app.clockpackage',2492,'H','AndroidSystem'
108000,'com.sec.android.app.clockpackage',2644,'H','AndroidSystem'
4000,'com.sec.android.app.clockpackage',2337,'H','AndroidSystem'
12000,'com.sec.android.app.clockpackage',2307,'H','AndroidSystem'
8000,'com.sec.android.app.clockpackage',2785,'H','AndroidSystem'
120000,'com.tinder',3151,'H','Lifestyle'
72000,'com.tinder',2909,'H','Lifestyle'
124000,'com.tinder',3022,'H','Lifestyle'
0,'com.android.email',3431,'H','AndroidSystem'
108000,'com.tinder',2797,'H','Lifestyle'
132000,'com.tinder',3275,'H','Lifestyle'
12000,'com.sec.android.app.clockpackage',36005,'H','AndroidSystem'
8000,'com.sec.android.app.clockpackage',39732,'H','AndroidSystem'
20000,'com.google.android.calendar',39950,'H','Productivity'
0,'com.android.mms',33612,'H','AndroidSystem'
4000,'com.sec.android.app.clockpackage',39082,'H','AndroidSystem'
24000,'com.snapchat.android',33257,'H','Social'
16000,'com.sec.android.app.clockpackage',39603,'H','AndroidSystem'
8000,'com.sec.android.app.clockpackage',33604,'H','AndroidSystem'
4000,'com.sec.android.app.clockpackage',36025,'H','AndroidSystem'
16000,'com.android.mms',33305,'H','AndroidSystem'
76000,'com.android.mms',40088,'H','AndroidSystem'
8000,'com.android.mms',40880,'H','AndroidSystem'
4000,'com.android.mms',43064,'H','AndroidSystem'
4000,'com.android.phone',43161,'H','AndroidSystem'
4000,'com.android.phone',43231,'H','AndroidSystem'
4000,'com.android.mms',44358,'H','AndroidSystem'
8000,'com.android.mms',45509,'H','AndroidSystem'
4000,'com.android.mms',46962,'H','AndroidSystem'
4000,'com.vlingo.midas',47108,'H','AndroidSystem'
4000,'com.vlingo.midas',47125,'H','AndroidSystem'
4000,'com.vlingo.midas',47295,'H','AndroidSystem'
4000,'com.vlingo.midas',47299,'H','AndroidSystem'
4000,'com.vlingo.midas',47344,'H','AndroidSystem'
8000,'com.android.phone',54057,'H','AndroidSystem'
8000,'com.vlingo.midas',54065,'H','AndroidSystem'
16000,'com.android.phone',56025,'H','AndroidSystem'
0,'com.vlingo.midas',56041,'H','AndroidSystem'
4000,'com.android.contacts',60198,'H','AndroidSystem'
0,'com.android.phone',60206,'H','AndroidSystem'
4000,'com.android.phone',60247,'H','AndroidSystem'
28000,'com.android.mms',60328,'H','AndroidSystem'
