@relation APPUSAGE
@attribute activeTime numeric
@attribute packageName {'com.whatsapp','com.google.android.talk','com.android.chrome','com.google.android.calendar','com.google.android.gm','com.google.android.apps.plus','com.google.android.youtube','com.viber.voip','com.google.android.apps.translate','com.grahsoft.explorer','com.grahsoft.notes','com.google.android.deskclock','com.android.vending','com.google.android.dialer','com.uob.websense'}
@attribute startMinuteDay numeric
@attribute locationTag {'O','H'}
@attribute category {'Communication','Social','Media and Video','Productivity','Tools','AndroidSystem'}

@data
20000,'com.android.chrome',7008,'O','Communication'
84000,'com.android.chrome',7033,'O','Communication'
16000,'com.android.chrome',7117,'O','Communication'
32000,'com.viber.voip',9493,'O','Communication'
16000,'com.android.chrome',9541,'O','Communication'
4000,'com.android.chrome',9557,'O','Communication'
28000,'com.whatsapp',9733,'O','Communication'
268000,'com.whatsapp',9765,'O','Communication'
28000,'com.android.chrome',10045,'O','Communication'
152000,'com.whatsapp',10149,'O','Communication'
12000,'com.viber.voip',36762,'O','Communication'
20000,'com.whatsapp',36778,'O','Communication'
12000,'com.whatsapp',37154,'O','Communication'
160000,'com.whatsapp',37334,'O','Communication'
116000,'com.viber.voip',37602,'O','Communication'
36000,'com.viber.voip',37740,'O','Communication'
32000,'com.viber.voip',38547,'O','Communication'
36000,'com.android.chrome',38615,'O','Communication'
52000,'com.viber.voip',39709,'O','Communication'
4000,'com.whatsapp',41207,'O','Communication'
36000,'com.viber.voip',41215,'O','Communication'
172000,'com.whatsapp',42491,'O','Communication'
4000,'com.viber.voip',42663,'O','Communication'
120000,'com.whatsapp',42671,'O','Communication'
28000,'com.viber.voip',42803,'O','Communication'
16000,'com.viber.voip',42861,'O','Communication'
4000,'com.viber.voip',47901,'O','Communication'
4000,'com.viber.voip',47909,'O','Communication'
8000,'com.whatsapp',47913,'O','Communication'
12000,'com.viber.voip',49309,'O','Communication'
20000,'com.viber.voip',50101,'O','Communication'
16000,'com.viber.voip',51181,'O','Communication'
16000,'com.whatsapp',51201,'O','Communication'
40000,'com.viber.voip',51230,'O','Communication'
8000,'com.viber.voip',51418,'O','Communication'
0,'com.viber.voip',51486,'O','Communication'
24000,'com.whatsapp',51795,'O','Communication'
4000,'com.android.chrome',52071,'O','Communication'
36000,'com.android.chrome',52075,'O','Communication'
4000,'com.android.chrome',52800,'O','Communication'
24000,'com.viber.voip',54078,'O','Communication'
24000,'com.android.chrome',54167,'O','Communication'
4000,'com.android.chrome',54191,'O','Communication'
8000,'com.android.chrome',54195,'O','Communication'
0,'com.viber.voip',54298,'O','Communication'
72000,'com.viber.voip',55291,'O','Communication'
24000,'com.viber.voip',55449,'O','Communication'
88000,'com.whatsapp',56246,'O','Communication'
144000,'com.whatsapp',56554,'O','Communication'
4000,'com.whatsapp',57714,'O','Communication'
116000,'com.whatsapp',58123,'O','Communication'
604000,'com.whatsapp',66914,'O','Communication'
56000,'com.viber.voip',75885,'O','Communication'
152000,'com.viber.voip',76012,'O','Communication'
252000,'com.viber.voip',76176,'O','Communication'
896000,'com.viber.voip',76432,'O','Communication'
204000,'com.viber.voip',77329,'O','Communication'
0,'com.viber.voip',77537,'O','Communication'
20000,'com.viber.voip',4401,'O','Communication'
0,'com.viber.voip',4454,'O','Communication'
36000,'com.viber.voip',27933,'O','Communication'
20000,'com.android.chrome',28029,'O','Communication'
56000,'com.android.chrome',28053,'O','Communication'
4000,'com.viber.voip',28109,'O','Communication'
0,'com.viber.voip',31591,'O','Communication'
36000,'com.viber.voip',37639,'O','Communication'
0,'com.android.chrome',37703,'O','Communication'
8000,'com.viber.voip',37792,'O','Communication'
4000,'com.android.chrome',38442,'O','Communication'
